001  00500 |Loss: 3.265 | Acc: 10.419% 
001  00501 |Loss: 3.263 | Acc: 10.404% 
001  00502 |Loss: 3.262 | Acc: 10.415% 
001  00503 |Loss: 3.260 | Acc: 10.406% 
001  00504 |Loss: 3.258 | Acc: 10.404% 
001  00505 |Loss: 3.257 | Acc: 10.390% 
001  00506 |Loss: 3.255 | Acc: 10.388% 
001  00507 |Loss: 3.253 | Acc: 10.386% 
001  00508 |Loss: 3.252 | Acc: 10.384% 
001  00509 |Loss: 3.250 | Acc: 10.376% 
001  00510 |Loss: 3.248 | Acc: 10.368% 
001  00511 |Loss: 3.246 | Acc: 10.366% 
001  00512 |Loss: 3.244 | Acc: 10.352% 
001  00513 |Loss: 3.243 | Acc: 10.350% 
001  00514 |Loss: 3.241 | Acc: 10.336% 
001  00515 |Loss: 3.240 | Acc: 10.328% 
001  00516 |Loss: 3.239 | Acc: 10.320% 
001  00517 |Loss: 3.237 | Acc: 10.318% 
001  00518 |Loss: 3.235 | Acc: 10.316% 
